month,year,visitors,Average Money Spent,Revenue_earned
January,2016,2,5600,11200
March,2016,2,5600,11200
July,2016,4,5600,22400
August,2016,2,5600,11200
January,2016,15865,5600,88844000
February,2016,29646,5600,166017600
March,2016,13019,5600,72906400
April,2016,8402,5600,47051200
May,2016,8522,5600,47723200
June,2016,10284,5600,57590400
July,2016,17142,5600,95995200
August,2016,12842,5600,71915200
September,2016,9397,5600,52623200
October,2016,12808,5600,71724800
November,2016,8084,5600,45270400
December,2016,17620,5600,98672000
November,2016,2,5600,11200
October,2016,24,5600,134400
November,2016,22,5600,123200
December,2016,40,5600,224000
October,2016,13,5600,72800
November,2016,21,5600,117600
December,2016,11,5600,61600
January,2016,123,5600,688800
February,2016,126,5600,705600
March,2016,103,5600,576800
April,2016,75,5600,420000
May,2016,58,5600,324800
June,2016,68,5600,380800
July,2016,63,5600,352800
August,2016,86,5600,481600
September,2016,74,5600,414400
October,2016,37,5600,207200
November,2016,29,5600,162400
December,2016,26,5600,145600
October,2016,8,5600,44800
November,2016,11,5600,61600
December,2016,10,5600,56000
January,2016,459,5600,2570400
February,2016,391,5600,2189600
March,2016,230,5600,1288000
April,2016,39,5600,218400
May,2016,82,5600,459200
June,2016,88,5600,492800
July,2016,53,5600,296800
August,2016,102,5600,571200
September,2016,118,5600,660800
October,2016,108,5600,604800
November,2016,97,5600,543200
December,2016,132,5600,739200
January,2017,5,5600,28000
June,2017,3,5600,16800
September,2017,3,5600,16800
January,2017,19286,5600,108001600
February,2017,18097,5600,101343200
March,2017,13875,5600,77700000
April,2017,12996,5600,72777600
May,2017,12983,5600,72704800
June,2017,12486,5600,69921600
July,2017,18144,5600,101606400
August,2017,16985,5600,95116000
September,2017,27856,5600,155993600
October,2017,26368,5600,147660800
November,2017,29170,5600,163352000
December,2017,38933,5600,218024800
January,2017,85,5600,476000
February,2017,38,5600,212800
March,2017,35,5600,196000
April,2017,36,5600,201600
May,2017,40,5600,224000
June,2017,35,5600,196000
July,2017,42,5600,235200
August,2017,45,5600,252000
September,2017,56,5600,313600
October,2017,55,5600,308000
November,2017,58,5600,324800
December,2017,57,5600,319200
January,2017,20,5600,112000
February,2017,16,5600,89600
March,2017,32,5600,179200
April,2017,29,5600,162400
May,2017,31,5600,173600
June,2017,32,5600,179200
July,2017,34,5600,190400
August,2017,25,5600,140000
September,2017,42,5600,235200
October,2017,13,5600,72800
November,2017,21,5600,117600
December,2017,10,5600,56000
January,2017,42,5600,235200
February,2017,39,5600,218400
March,2017,38,5600,212800
April,2017,39,5600,218400
May,2017,41,5600,229600
June,2017,43,5600,240800
July,2017,42,5600,235200
August,2017,44,5600,246400
September,2017,54,5600,302400
October,2017,47,5600,263200
November,2017,49,5600,274400
December,2017,42,5600,235200
January,2017,19,5600,106400
February,2017,25,5600,140000
March,2017,24,5600,134400
April,2017,29,5600,162400
May,2017,31,5600,173600
June,2017,35,5600,196000
July,2017,25,5600,140000
August,2017,23,5600,128800
September,2017,32,5600,179200
October,2017,18,5600,100800
November,2017,21,5600,117600
December,2017,29,5600,162400
April,2017,2,5600,11200
January,2017,35,5600,196000
February,2017,25,5600,140000
March,2017,17,5600,95200
April,2017,19,5600,106400
May,2017,21,5600,117600
June,2017,24,5600,134400
July,2017,25,5600,140000
August,2017,28,5600,156800
September,2017,26,5600,145600
October,2017,25,5600,140000
November,2017,29,5600,162400
December,2017,32,5600,179200
January,2017,235,5600,1316000
February,2017,242,5600,1355200
March,2017,238,5600,1332800
April,2017,209,5600,1170400
May,2017,211,5600,1181600
June,2017,194,5600,1086400
July,2017,116,5600,649600
August,2017,219,5600,1226400
September,2017,225,5600,1260000
October,2017,236,5600,1321600
November,2017,255,5600,1428000
December,2017,250,5600,1400000
July,2018,2,5600,11200
August,2018,3,5600,16800
January,2018,35379,5600,198122400
February,2018,30414,5600,170318400
March,2018,27535,5600,154196000
April,2018,20830,5600,116648000
May,2018,21554,5600,120702400
June,2018,24677,5600,138191200
July,2018,17456,5600,97753600
August,2018,31217,5600,174815200
September,2018,22809,5600,127730400
October,2018,30072,5600,168403200
November,2018,23487,5600,131527200
December,2018,29358,5600,164404800
January,2018,50,5600,280000
February,2018,60,5600,336000
March,2018,70,5600,392000
April,2018,45,5600,252000
May,2018,40,5600,224000
June,2018,35,5600,196000
July,2018,40,5600,224000
August,2018,35,5600,196000
September,2018,40,5600,224000
October,2018,40,5600,224000
November,2018,40,5600,224000
December,2018,44,5600,246400
January,2018,36,5600,201600
February,2018,6,5600,33600
March,2018,22,5600,123200
April,2018,15,5600,84000
May,2018,19,5600,106400
June,2018,19,5600,106400
July,2018,37,5600,207200
August,2018,42,5600,235200
September,2018,35,5600,196000
October,2018,13,5600,72800
November,2018,45,5600,252000
December,2018,11,5600,61600
January,2018,45,5600,252000
February,2018,29,5600,162400
March,2018,28,5600,156800
April,2018,26,5600,145600
May,2018,26,5600,145600
June,2018,26,5600,145600
July,2018,47,5600,263200
August,2018,44,5600,246400
September,2018,52,5600,291200
October,2018,37,5600,207200
November,2018,68,5600,380800
December,2018,26,5600,145600
January,2018,35,5600,196000
February,2018,15,5600,84000
March,2018,14,5600,78400
April,2018,15,5600,84000
May,2018,19,5600,106400
June,2018,15,5600,84000
July,2018,17,5600,95200
August,2018,22,5600,123200
September,2018,22,5600,123200
October,2018,8,5600,44800
November,2018,30,5600,168000
December,2018,10,5600,56000
August,2018,2,5600,11200
January,2018,1,5600,5600
July,2018,1,5600,5600
January,2018,150,5600,840000
February,2018,185,5600,1036000
March,2018,160,5600,896000
April,2018,150,5600,840000
May,2018,140,5600,784000
June,2018,130,5600,728000
July,2018,130,5600,728000
August,2018,135,5600,756000
September,2018,145,5600,812000
October,2018,160,5600,896000
November,2018,170,5600,952000
December,2018,187,5600,1047200
February,2019,2,5600,11200
August,2019,2,5600,11200
November,2019,2,5600,11200
January,2019,35920,5600,201152000
February,2019,25621,5600,143477600
March,2019,21929,5600,122802400
April,2019,18267,5600,102295200
May,2019,17317,5600,96975200
June,2019,20077,5600,112431200
July,2019,27874,5600,156094400
August,2019,22725,5600,127260000
September,2019,34018,5600,190500800
October,2019,28706,5600,160753600
November,2019,32762,5600,183467200
December,2019,34084,5600,190870400
January,2019,45,5600,252000
January,2019,36,5600,201600
February,2019,6,5600,33600
March,2019,22,5600,123200
April,2019,16,5600,89600
May,2019,20,5600,112000
June,2019,22,5600,123200
July,2019,37,5600,207200
August,2019,42,5600,235200
September,2019,25,5600,140000
October,2019,13,5600,72800
November,2019,45,5600,252000
December,2019,11,5600,61600
January,2019,45,5600,252000
February,2019,29,5600,162400
March,2019,28,5600,156800
April,2019,34,5600,190400
May,2019,20,5600,112000
June,2019,28,5600,156800
July,2019,47,5600,263200
August,2019,44,5600,246400
September,2019,34,5600,190400
October,2019,37,5600,207200
November,2019,68,5600,380800
December,2019,26,5600,145600
November,2019,10,5600,56000
February,2019,45,5600,252000
March,2019,40,5600,224000
April,2019,40,5600,224000
May,2019,40,5600,224000
June,2019,50,5600,280000
July,2019,55,5600,308000
August,2019,50,5600,280000
September,2019,60,5600,336000
October,2019,60,5600,336000
November,2019,70,5600,392000
December,2019,65,5600,364000
January,2019,35,5600,196000
February,2019,15,5600,84000
March,2019,14,5600,78400
April,2019,18,5600,100800
May,2019,14,5600,78400
June,2019,14,5600,78400
July,2019,17,5600,95200
August,2019,22,5600,123200
September,2019,7,5600,39200
October,2019,3,5600,16800
November,2019,30,5600,168000
December,2019,10,5600,56000
December,2019,5,5600,28000
February,2019,1,5600,5600
January,2019,175,5600,980000
February,2019,200,5600,1120000
March,2019,200,5600,1120000
April,2019,190,5600,1064000
May,2019,175,5600,980000
June,2019,195,5600,1092000
July,2019,185,5600,1036000
August,2019,230,5600,1288000
September,2019,240,5600,1344000
October,2019,220,5600,1232000
November,2019,230,5600,1288000
December,2019,210,5600,1176000
